رقم_السجل,اسم_المعرض,اسم_السيارة,ماركة_السيارة,موديل_السيارة,سنة_الصنع,السعر_بالدولار,الممشى_كم,لون_السيارة,ناقل_الحركة,نوع_الوقود,حالة_السيارة,رقم_الهاتف,المدينة,صورة_السيارة
1,معرض النجوم,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2015,33700,147578,أبيض,أوتوماتيك,هجين,مستعملة,789254563,ذمار,/static/images/cars/أبيض_الفئة الثالثة_بي إم دبليو.car.svg
2,معرض القمة,تويوتا كامري,تويوتا,كامري,2016,20800,124631,أسود,عادي,بنزين,مستعملة,739587039,المكلا,/static/images/cars/أسود_كامري_تويوتا.car.svg
3,معرض النخبة,مرسيدس S-Class,مرسيدس,S-Class,2015,37500,129689,أحمر,عادي,بنزين,مستعملة,723718431,عدن,/static/images/cars/أحمر_S-Class_مرسيدس.car.svg
4,معرض النجوم,هيونداي سوناتا,هيونداي,سوناتا,2020,22500,92701,لؤلؤي,أوتوماتيك,بنزين,مستعملة,760806024,عدن,/static/images/cars/لؤلؤي_سوناتا_هيونداي.car.svg
5,معرض الأصالة,مرسيدس S-Class,مرسيدس,S-Class,2025,59200,19384,أزرق,أوتوماتيك,بنزين,مستعملة,748840994,عدن,/static/images/cars/أزرق_S-Class_مرسيدس.car.svg
6,معرض الرواد,هوندا أكورد,هوندا,أكورد,2021,29100,70198,فضي,أوتوماتيك,هجين,مستعملة,799949389,إب,/static/images/cars/فضي_أكورد_هوندا.car.svg
7,معرض التميز,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2024,55500,27357,لؤلؤي,عادي,هجين,مستعملة,795899313,الحديدة,/static/images/cars/لؤلؤي_الفئة الثالثة_بي إم دبليو.car.svg
8,معرض الرواد,بي إم دبليو X3,بي إم دبليو,X3,2015,35000,135797,أبيض,أوتوماتيك,ديزل,مستعملة,786125617,حضرموت,/static/images/cars/أبيض_X3_بي إم دبليو.car.svg
9,معرض النخبة,هوندا بايلوت,هوندا,بايلوت,2021,27900,79925,أزرق,عادي,هجين,مستعملة,788461803,ذمار,/static/images/cars/أزرق_بايلوت_هوندا.car.svg
10,معرض الأصالة,مرسيدس GLC,مرسيدس,GLC,2020,50400,72824,أحمر,أوتوماتيك,ديزل,مستعملة,724716857,تعز,/static/images/cars/أحمر_GLC_مرسيدس.car.svg
11,معرض التميز,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2025,62000,0,رمادي,عادي,ديزل,جديدة,781016525,إب,/static/images/cars/رمادي_الفئة الخامسة_بي إم دبليو.car.svg
12,معرض الرواد,مرسيدس C-Class,مرسيدس,C-Class,2025,60500,17168,لؤلؤي,أوتوماتيك,بنزين,مستعملة,770897765,صنعاء,/static/images/cars/لؤلؤي_C-Class_مرسيدس.car.svg
13,معرض السيارات الحديثة,بي إم دبليو X3,بي إم دبليو,X3,2023,52000,39098,أزرق,أوتوماتيك,كهربائي,مستعملة,730513739,حضرموت,/static/images/cars/أزرق_X3_بي إم دبليو.car.svg
14,معرض الرواد,هوندا أكورد,هوندا,أكورد,2024,33400,31625,أحمر,عادي,بنزين,مستعملة,742138745,صنعاء,/static/images/cars/أحمر_أكورد_هوندا.car.svg
15,معرض النخبة,هوندا أكورد,هوندا,أكورد,2016,17200,165753,أزرق,عادي,هجين,مستعملة,783793389,تعز,/static/images/cars/أزرق_أكورد_هوندا.car.svg
16,معرض النجوم,فورد إكسبيديشن,فورد,إكسبيديشن,2018,24100,140975,أزرق,عادي,ديزل,مستعملة,768800797,المكلا,/static/images/cars/أزرق_إكسبيديشن_فورد.car.svg
17,معرض القمة,تويوتا كورولا,تويوتا,كورولا,2018,22400,80931,أسود,أوتوماتيك,هجين,مستعملة,719528530,صنعاء,/static/images/cars/أسود_كورولا_تويوتا.car.svg
18,معرض الرواد,هوندا أكورد,هوندا,أكورد,2015,15800,154703,أزرق,عادي,هجين,مستعملة,738754377,تعز,/static/images/cars/أزرق_أكورد_هوندا.car.svg
19,معرض الأصالة,بي إم دبليو X5,بي إم دبليو,X5,2018,39400,135661,أزرق,عادي,بنزين,مستعملة,757553014,ذمار,/static/images/cars/أزرق_X5_بي إم دبليو.car.svg
20,معرض التميز,هيونداي سانتافي,هيونداي,سانتافي,2026,41100,0,أزرق,عادي,بنزين,جديدة,724665841,الحديدة,/static/images/cars/أزرق_سانتافي_هيونداي.car.svg
21,معرض الرواد,هوندا سيفيك,هوندا,سيفيك,2023,34300,46346,لؤلؤي,أوتوماتيك,هجين,مستعملة,720117988,المكلا,/static/images/cars/لؤلؤي_سيفيك_هوندا.car.svg
22,معرض النخبة,مرسيدس C-Class,مرسيدس,C-Class,2015,32600,191657,لؤلؤي,عادي,هجين,مستعملة,774606833,الحديدة,/static/images/cars/لؤلؤي_C-Class_مرسيدس.car.svg
23,معرض الرواد,هيونداي سوناتا,هيونداي,سوناتا,2017,16400,131916,لؤلؤي,عادي,ديزل,مستعملة,730776478,الحديدة,/static/images/cars/لؤلؤي_سوناتا_هيونداي.car.svg
24,معرض الأصالة,فورد موستانج,فورد,موستانج,2015,16400,192711,رمادي,عادي,بنزين,مستعملة,777491435,تعز,/static/images/cars/رمادي_موستانج_فورد.car.svg
25,معرض النجوم,تويوتا هايلاندر,تويوتا,هايلاندر,2016,21900,116562,أحمر,أوتوماتيك,بنزين,مستعملة,764193837,عدن,/static/images/cars/أحمر_هايلاندر_تويوتا.car.svg
26,معرض الرواد,مرسيدس E-Class,مرسيدس,E-Class,2024,59400,15645,أسود,عادي,كهربائي,مستعملة,742035886,إب,/static/images/cars/أسود_E-Class_مرسيدس.car.svg
27,معرض التميز,هيونداي إلنترا,هيونداي,إلنترا,2025,33300,16671,رمادي,أوتوماتيك,بنزين,مستعملة,719832887,الحديدة,/static/images/cars/رمادي_إلنترا_هيونداي.car.svg
28,معرض النخبة,مرسيدس S-Class,مرسيدس,S-Class,2017,40300,128589,لؤلؤي,عادي,ديزل,مستعملة,792097999,صنعاء,/static/images/cars/لؤلؤي_S-Class_مرسيدس.car.svg
29,معرض الأصالة,بي إم دبليو X3,بي إم دبليو,X3,2025,62600,0,أبيض,أوتوماتيك,كهربائي,جديدة,746553958,إب,/static/images/cars/أبيض_X3_بي إم دبليو.car.svg
30,معرض الرواد,مرسيدس E-Class,مرسيدس,E-Class,2026,67500,0,أحمر,أوتوماتيك,ديزل,جديدة,722388090,ذمار,/static/images/cars/أحمر_E-Class_مرسيدس.car.svg
31,معرض النجوم,فورد إكسبلورر,فورد,إكسبلورر,2015,17600,156247,لؤلؤي,عادي,هجين,مستعملة,785283645,صنعاء,/static/images/cars/لؤلؤي_إكسبلورر_فورد.car.svg
32,معرض التميز,تويوتا كامري,تويوتا,كامري,2026,43100,5000,أسود,أوتوماتيك,هجين,مستعملة,751373735,حضرموت,/static/images/cars/أسود_كامري_تويوتا.car.svg
33,معرض القمة,تويوتا راف فور,تويوتا,راف فور,2018,24200,101388,أزرق,أوتوماتيك,ديزل,مستعملة,741774346,تعز,/static/images/cars/أزرق_راف فور_تويوتا.car.svg
34,معرض الرواد,هوندا بايلوت,هوندا,بايلوت,2015,15900,131760,أسود,أوتوماتيك,هجين,مستعملة,761343880,صنعاء,/static/images/cars/أسود_بايلوت_هوندا.car.svg
35,معرض النخبة,هيونداي إلنترا,هيونداي,إلنترا,2018,17400,133056,أبيض,أوتوماتيك,هجين,مستعملة,763481198,حضرموت,/static/images/cars/أبيض_إلنترا_هيونداي.car.svg
36,معرض الأصالة,فورد إكسبلورر,فورد,إكسبلورر,2019,28200,106617,أبيض,عادي,كهربائي,مستعملة,733966966,إب,/static/images/cars/أبيض_إكسبلورر_فورد.car.svg
37,معرض القمة,تويوتا كامري,تويوتا,كامري,2024,37800,32901,رمادي,أوتوماتيك,ديزل,مستعملة,761700055,الحديدة,/static/images/cars/رمادي_كامري_تويوتا.car.svg
38,معرض الرواد,فورد إكسبلورر,فورد,إكسبلورر,2026,51600,0,لؤلؤي,أوتوماتيك,هجين,جديدة,799152472,حضرموت,/static/images/cars/لؤلؤي_إكسبلورر_فورد.car.svg
39,معرض الرواد,مرسيدس S-Class,مرسيدس,S-Class,2025,60300,17228,لؤلؤي,عادي,ديزل,مستعملة,784411983,تعز,/static/images/cars/لؤلؤي_S-Class_مرسيدس.car.svg
40,معرض القمة,هوندا بايلوت,هوندا,بايلوت,2025,38200,16175,أحمر,أوتوماتيك,ديزل,مستعملة,750785405,إب,/static/images/cars/أحمر_بايلوت_هوندا.car.svg
41,معرض النجوم,هوندا بايلوت,هوندا,بايلوت,2024,36900,31176,أسود,عادي,ديزل,مستعملة,732775593,عدن,/static/images/cars/أسود_بايلوت_هوندا.car.svg
42,معرض النخبة,فورد إيدج,فورد,إيدج,2016,20400,128565,أبيض,أوتوماتيك,هجين,مستعملة,742862209,المكلا,/static/images/cars/أبيض_إيدج_فورد.car.svg
43,معرض التميز,مرسيدس C-Class,مرسيدس,C-Class,2022,51700,67591,لؤلؤي,أوتوماتيك,ديزل,مستعملة,729806690,صنعاء,/static/images/cars/لؤلؤي_C-Class_مرسيدس.car.svg
44,معرض القمة,تويوتا لاندكروزر,تويوتا,لاندكروزر,2018,25300,98534,أسود,أوتوماتيك,بنزين,مستعملة,771265269,تعز,/static/images/cars/أسود_لاندكروزر_تويوتا.car.svg
45,معرض النخبة,هيونداي توسان,هيونداي,توسان,2022,29400,71071,أزرق,عادي,ديزل,مستعملة,770407340,إب,/static/images/cars/أزرق_توسان_هيونداي.car.svg
46,معرض الأصالة,هوندا CR-V,هوندا,CR-V,2023,32900,49736,أزرق,عادي,ديزل,مستعملة,741473195,إب,/static/images/cars/أزرق_CR-V_هوندا.car.svg
47,معرض التميز,فورد إيدج,فورد,إيدج,2023,36900,28227,أزرق,أوتوماتيك,هجين,مستعملة,738716269,عدن,/static/images/cars/أزرق_إيدج_فورد.car.svg
48,معرض النخبة,هيونداي سانتافي,هيونداي,سانتافي,2020,23000,109973,أحمر,عادي,بنزين,مستعملة,762274692,صنعاء,/static/images/cars/أحمر_سانتافي_هيونداي.car.svg
49,معرض السيارات الحديثة,مرسيدس GLC,مرسيدس,GLC,2022,53900,37147,أحمر,عادي,ديزل,مستعملة,782238741,الحديدة,/static/images/cars/أحمر_GLC_مرسيدس.car.svg
50,معرض الرواد,هيونداي إلنترا,هيونداي,إلنترا,2019,17700,115936,أزرق,عادي,ديزل,مستعملة,732151928,المكلا,/static/images/cars/أزرق_إلنترا_هيونداي.car.svg
51,معرض السيارات الحديثة,هوندا أكورد,هوندا,أكورد,2021,30800,43595,لؤلؤي,أوتوماتيك,هجين,مستعملة,716749089,إب,/static/images/cars/لؤلؤي_أكورد_هوندا.car.svg
52,معرض الرواد,هيونداي توسان,هيونداي,توسان,2018,17700,131947,أحمر,عادي,ديزل,مستعملة,743859311,عدن,/static/images/cars/أحمر_توسان_هيونداي.car.svg
53,معرض السيارات الحديثة,هيونداي سوناتا,هيونداي,سوناتا,2026,35600,5000,أبيض,أوتوماتيك,بنزين,مستعملة,736757737,صنعاء,/static/images/cars/أبيض_سوناتا_هيونداي.car.svg
54,معرض التميز,مرسيدس E-Class,مرسيدس,E-Class,2018,42700,91302,أزرق,عادي,هجين,مستعملة,759512272,تعز,/static/images/cars/أزرق_E-Class_مرسيدس.car.svg
55,معرض الرواد,مرسيدس C-Class,مرسيدس,C-Class,2017,43300,123635,رمادي,عادي,بنزين,مستعملة,763238057,الحديدة,/static/images/cars/رمادي_C-Class_مرسيدس.car.svg
